"","...1","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year","bill_surface_area_mm2","body_mass_kg","flipper_length_Z","flipper_length_group"
"17",22,"Adelie","Biscoe",37.7,18.7,180,3600,"male","2007",704.99,3.6,-1.48738661270474,"Small Penguinz"
"18",23,"Adelie","Biscoe",35.9,19.2,189,3800,"female","2007",689.28,3.8,-0.84735082437744,"Small Penguinz"
"19",24,"Adelie","Biscoe",38.2,18.1,185,3950,"male","2007",691.42,3.95,-1.13181117474513,"Small Penguinz"
"20",25,"Adelie","Biscoe",38.8,17.2,180,3800,"male","2007",667.36,3.8,-1.48738661270474,"Small Penguinz"
"21",26,"Adelie","Biscoe",35.3,18.9,187,3800,"female","2007",667.17,3.8,-0.989580999561285,"Small Penguinz"
"22",27,"Adelie","Biscoe",40.6,18.6,183,3550,"male","2007",755.16,3.55,-1.27404134992898,"Small Penguinz"
"23",28,"Adelie","Biscoe",40.5,17.9,187,3200,"female","2007",724.95,3.2,-0.989580999561285,"Small Penguinz"
"24",29,"Adelie","Biscoe",37.9,18.6,172,3150,"female","2007",704.94,3.15,-2.05630731344012,"Small Penguinz"
"25",30,"Adelie","Biscoe",40.5,18.9,180,3950,"male","2007",765.45,3.95,-1.48738661270474,"Small Penguinz"
"26",31,"Adelie","Dream",39.5,16.7,178,3250,"female","2007",659.65,3.25,-1.62961678788859,"Small Penguinz"
"27",32,"Adelie","Dream",37.2,18.1,178,3900,"male","2007",673.32,3.9,-1.62961678788859,"Small Penguinz"
"28",33,"Adelie","Dream",39.5,17.8,188,3300,"female","2007",703.1,3.3,-0.918465911969363,"Small Penguinz"
"29",34,"Adelie","Dream",40.9,18.9,184,3900,"male","2007",773.01,3.9,-1.20292626233705,"Small Penguinz"
"30",35,"Adelie","Dream",36.4,17,195,3325,"female","2007",618.8,3.325,-0.420660298825905,"Small Penguinz"
"31",36,"Adelie","Dream",39.2,21.1,196,4150,"male","2007",827.12,4.15,-0.349545211233983,"Small Penguinz"
"32",37,"Adelie","Dream",38.8,20,190,3950,"male","2007",776,3.95,-0.776235736785517,"Small Penguinz"
"33",38,"Adelie","Dream",42.2,18.5,180,3550,"female","2007",780.7,3.55,-1.48738661270474,"Small Penguinz"
"34",39,"Adelie","Dream",37.6,19.3,181,3300,"female","2007",725.68,3.3,-1.41627152511282,"Small Penguinz"
"35",40,"Adelie","Dream",39.8,19.1,184,4650,"male","2007",760.18,4.65,-1.20292626233705,"Small Penguinz"
"36",41,"Adelie","Dream",36.5,18,182,3150,"female","2007",657,3.15,-1.3451564375209,"Small Penguinz"
"37",42,"Adelie","Dream",40.8,18.4,195,3900,"male","2007",750.72,3.9,-0.420660298825905,"Small Penguinz"
"38",43,"Adelie","Dream",36,18.5,186,3100,"female","2007",666,3.1,-1.06069608715321,"Small Penguinz"
"39",44,"Adelie","Dream",44.1,19.7,196,4400,"male","2007",868.77,4.4,-0.349545211233983,"Small Penguinz"
"40",45,"Adelie","Dream",37,16.9,185,3000,"female","2007",625.3,3,-1.13181117474513,"Small Penguinz"
"41",46,"Adelie","Dream",39.6,18.8,190,4600,"male","2007",744.48,4.6,-0.776235736785517,"Small Penguinz"
"42",47,"Adelie","Dream",41.1,19,182,3425,"male","2007",780.9,3.425,-1.3451564375209,"Small Penguinz"
"43",49,"Adelie","Dream",36,17.9,190,3450,"female","2007",644.4,3.45,-0.776235736785517,"Small Penguinz"
"44",50,"Adelie","Dream",42.3,21.2,191,4150,"male","2007",896.76,4.15,-0.705120649193595,"Small Penguinz"
"45",51,"Adelie","Biscoe",39.6,17.7,186,3500,"female","2008",700.92,3.5,-1.06069608715321,"Small Penguinz"
"46",52,"Adelie","Biscoe",40.1,18.9,188,4300,"male","2008",757.89,4.3,-0.918465911969363,"Small Penguinz"
"47",53,"Adelie","Biscoe",35,17.9,190,3450,"female","2008",626.5,3.45,-0.776235736785517,"Small Penguinz"
"48",54,"Adelie","Biscoe",42,19.5,200,4050,"male","2008",819,4.05,-0.0650848608662925,"Small Penguinz"
"49",55,"Adelie","Biscoe",34.5,18.1,187,2900,"female","2008",624.45,2.9,-0.989580999561285,"Small Penguinz"
"50",56,"Adelie","Biscoe",41.4,18.6,191,3700,"male","2008",770.04,3.7,-0.705120649193595,"Small Penguinz"
"51",57,"Adelie","Biscoe",39,17.5,186,3550,"female","2008",682.5,3.55,-1.06069608715321,"Small Penguinz"
"52",58,"Adelie","Biscoe",40.6,18.8,193,3800,"male","2008",763.28,3.8,-0.56289047400975,"Small Penguinz"
"53",59,"Adelie","Biscoe",36.5,16.6,181,2850,"female","2008",605.9,2.85,-1.41627152511282,"Small Penguinz"
"54",60,"Adelie","Biscoe",37.6,19.1,194,3750,"male","2008",718.16,3.75,-0.491775386417828,"Small Penguinz"
"55",61,"Adelie","Biscoe",35.7,16.9,185,3150,"female","2008",603.33,3.15,-1.13181117474513,"Small Penguinz"
"56",62,"Adelie","Biscoe",41.3,21.1,195,4400,"male","2008",871.43,4.4,-0.420660298825905,"Small Penguinz"
"57",63,"Adelie","Biscoe",37.6,17,185,3600,"female","2008",639.2,3.6,-1.13181117474513,"Small Penguinz"
"58",64,"Adelie","Biscoe",41.1,18.2,192,4050,"male","2008",748.02,4.05,-0.634005561601673,"Small Penguinz"
"59",65,"Adelie","Biscoe",36.4,17.1,184,2850,"female","2008",622.44,2.85,-1.20292626233705,"Small Penguinz"
"60",66,"Adelie","Biscoe",41.6,18,192,3950,"male","2008",748.8,3.95,-0.634005561601673,"Small Penguinz"
"61",67,"Adelie","Biscoe",35.5,16.2,195,3350,"female","2008",575.1,3.35,-0.420660298825905,"Small Penguinz"
"62",68,"Adelie","Biscoe",41.1,19.1,188,4100,"male","2008",785.01,4.1,-0.918465911969363,"Small Penguinz"
"63",69,"Adelie","Torgersen",35.9,16.6,190,3050,"female","2008",595.94,3.05,-0.776235736785517,"Small Penguinz"
"64",70,"Adelie","Torgersen",41.8,19.4,198,4450,"male","2008",810.92,4.45,-0.207315036050138,"Small Penguinz"
"65",71,"Adelie","Torgersen",33.5,19,190,3600,"female","2008",636.5,3.6,-0.776235736785517,"Small Penguinz"
"66",72,"Adelie","Torgersen",39.7,18.4,190,3900,"male","2008",730.48,3.9,-0.776235736785517,"Small Penguinz"
"67",73,"Adelie","Torgersen",39.6,17.2,196,3550,"female","2008",681.12,3.55,-0.349545211233983,"Small Penguinz"
"68",74,"Adelie","Torgersen",45.8,18.9,197,4150,"male","2008",865.62,4.15,-0.27843012364206,"Small Penguinz"
"69",75,"Adelie","Torgersen",35.5,17.5,190,3700,"female","2008",621.25,3.7,-0.776235736785517,"Small Penguinz"
"70",76,"Adelie","Torgersen",42.8,18.5,195,4250,"male","2008",791.8,4.25,-0.420660298825905,"Small Penguinz"
"71",77,"Adelie","Torgersen",40.9,16.8,191,3700,"female","2008",687.12,3.7,-0.705120649193595,"Small Penguinz"
"72",78,"Adelie","Torgersen",37.2,19.4,184,3900,"male","2008",721.68,3.9,-1.20292626233705,"Small Penguinz"
"73",79,"Adelie","Torgersen",36.2,16.1,187,3550,"female","2008",582.82,3.55,-0.989580999561285,"Small Penguinz"
"74",80,"Adelie","Torgersen",42.1,19.1,195,4000,"male","2008",804.11,4,-0.420660298825905,"Small Penguinz"
"75",81,"Adelie","Torgersen",34.6,17.2,189,3200,"female","2008",595.12,3.2,-0.84735082437744,"Small Penguinz"
"76",82,"Adelie","Torgersen",42.9,17.6,196,4700,"male","2008",755.04,4.7,-0.349545211233983,"Small Penguinz"
"77",83,"Adelie","Torgersen",36.7,18.8,187,3800,"female","2008",689.96,3.8,-0.989580999561285,"Small Penguinz"
"78",84,"Adelie","Torgersen",35.1,19.4,193,4200,"male","2008",680.94,4.2,-0.56289047400975,"Small Penguinz"
"79",85,"Adelie","Dream",37.3,17.8,191,3350,"female","2008",663.94,3.35,-0.705120649193595,"Small Penguinz"
"80",86,"Adelie","Dream",41.3,20.3,194,3550,"male","2008",838.39,3.55,-0.491775386417828,"Small Penguinz"
"81",87,"Adelie","Dream",36.3,19.5,190,3800,"male","2008",707.85,3.8,-0.776235736785517,"Small Penguinz"
"82",88,"Adelie","Dream",36.9,18.6,189,3500,"female","2008",686.34,3.5,-0.84735082437744,"Small Penguinz"
"83",89,"Adelie","Dream",38.3,19.2,189,3950,"male","2008",735.36,3.95,-0.84735082437744,"Small Penguinz"
"84",90,"Adelie","Dream",38.9,18.8,190,3600,"female","2008",731.32,3.6,-0.776235736785517,"Small Penguinz"
"85",91,"Adelie","Dream",35.7,18,202,3550,"female","2008",642.6,3.55,0.0771453143175525,"Big Penguinz"
"86",92,"Adelie","Dream",41.1,18.1,205,4300,"male","2008",743.91,4.3,0.29049057709332,"Big Penguinz"
"87",93,"Adelie","Dream",34,17.1,185,3400,"female","2008",581.4,3.4,-1.13181117474513,"Small Penguinz"
"88",94,"Adelie","Dream",39.6,18.1,186,4450,"male","2008",716.76,4.45,-1.06069608715321,"Small Penguinz"
"89",95,"Adelie","Dream",36.2,17.3,187,3300,"female","2008",626.26,3.3,-0.989580999561285,"Small Penguinz"
"90",96,"Adelie","Dream",40.8,18.9,208,4300,"male","2008",771.12,4.3,0.503835839869088,"Big Penguinz"
"91",97,"Adelie","Dream",38.1,18.6,190,3700,"female","2008",708.66,3.7,-0.776235736785517,"Small Penguinz"
"92",98,"Adelie","Dream",40.3,18.5,196,4350,"male","2008",745.55,4.35,-0.349545211233983,"Small Penguinz"
"93",99,"Adelie","Dream",33.1,16.1,178,2900,"female","2008",532.91,2.9,-1.62961678788859,"Small Penguinz"
"94",100,"Adelie","Dream",43.2,18.5,192,4100,"male","2008",799.2,4.1,-0.634005561601673,"Small Penguinz"
"95",101,"Adelie","Biscoe",35,17.9,192,3725,"female","2009",626.5,3.725,-0.634005561601673,"Small Penguinz"
"96",102,"Adelie","Biscoe",41,20,203,4725,"male","2009",820,4.725,0.148260401909475,"Big Penguinz"
"97",103,"Adelie","Biscoe",37.7,16,183,3075,"female","2009",603.2,3.075,-1.27404134992898,"Small Penguinz"
"98",104,"Adelie","Biscoe",37.8,20,190,4250,"male","2009",756,4.25,-0.776235736785517,"Small Penguinz"
"99",105,"Adelie","Biscoe",37.9,18.6,193,2925,"female","2009",704.94,2.925,-0.56289047400975,"Small Penguinz"
"100",106,"Adelie","Biscoe",39.7,18.9,184,3550,"male","2009",750.33,3.55,-1.20292626233705,"Small Penguinz"
"101",107,"Adelie","Biscoe",38.6,17.2,199,3750,"female","2009",663.92,3.75,-0.136199948458215,"Small Penguinz"
"102",108,"Adelie","Biscoe",38.2,20,190,3900,"male","2009",764,3.9,-0.776235736785517,"Small Penguinz"
"103",109,"Adelie","Biscoe",38.1,17,181,3175,"female","2009",647.7,3.175,-1.41627152511282,"Small Penguinz"
"104",110,"Adelie","Biscoe",43.2,19,197,4775,"male","2009",820.8,4.775,-0.27843012364206,"Small Penguinz"
"105",111,"Adelie","Biscoe",38.1,16.5,198,3825,"female","2009",628.65,3.825,-0.207315036050138,"Small Penguinz"
"106",112,"Adelie","Biscoe",45.6,20.3,191,4600,"male","2009",925.68,4.6,-0.705120649193595,"Small Penguinz"
"107",113,"Adelie","Biscoe",39.7,17.7,193,3200,"female","2009",702.69,3.2,-0.56289047400975,"Small Penguinz"
"108",114,"Adelie","Biscoe",42.2,19.5,197,4275,"male","2009",822.9,4.275,-0.27843012364206,"Small Penguinz"
"109",115,"Adelie","Biscoe",39.6,20.7,191,3900,"female","2009",819.72,3.9,-0.705120649193595,"Small Penguinz"
"110",116,"Adelie","Biscoe",42.7,18.3,196,4075,"male","2009",781.41,4.075,-0.349545211233983,"Small Penguinz"
"111",117,"Adelie","Torgersen",38.6,17,188,2900,"female","2009",656.2,2.9,-0.918465911969363,"Small Penguinz"
"112",118,"Adelie","Torgersen",37.3,20.5,199,3775,"male","2009",764.65,3.775,-0.136199948458215,"Small Penguinz"
"113",119,"Adelie","Torgersen",35.7,17,189,3350,"female","2009",606.9,3.35,-0.84735082437744,"Small Penguinz"
"114",120,"Adelie","Torgersen",41.1,18.6,189,3325,"male","2009",764.46,3.325,-0.84735082437744,"Small Penguinz"
"115",121,"Adelie","Torgersen",36.2,17.2,187,3150,"female","2009",622.64,3.15,-0.989580999561285,"Small Penguinz"
"116",122,"Adelie","Torgersen",37.7,19.8,198,3500,"male","2009",746.46,3.5,-0.207315036050138,"Small Penguinz"
"117",123,"Adelie","Torgersen",40.2,17,176,3450,"female","2009",683.4,3.45,-1.77184696307243,"Small Penguinz"
"118",124,"Adelie","Torgersen",41.4,18.5,202,3875,"male","2009",765.9,3.875,0.0771453143175525,"Big Penguinz"
"119",125,"Adelie","Torgersen",35.2,15.9,186,3050,"female","2009",559.68,3.05,-1.06069608715321,"Small Penguinz"
"120",126,"Adelie","Torgersen",40.6,19,199,4000,"male","2009",771.4,4,-0.136199948458215,"Small Penguinz"
"121",127,"Adelie","Torgersen",38.8,17.6,191,3275,"female","2009",682.88,3.275,-0.705120649193595,"Small Penguinz"
"122",128,"Adelie","Torgersen",41.5,18.3,195,4300,"male","2009",759.45,4.3,-0.420660298825905,"Small Penguinz"
"123",129,"Adelie","Torgersen",39,17.1,191,3050,"female","2009",666.9,3.05,-0.705120649193595,"Small Penguinz"
"124",130,"Adelie","Torgersen",44.1,18,210,4000,"male","2009",793.8,4,0.646066015052933,"Big Penguinz"
"125",131,"Adelie","Torgersen",38.5,17.9,190,3325,"female","2009",689.15,3.325,-0.776235736785517,"Small Penguinz"
"126",132,"Adelie","Torgersen",43.1,19.2,197,3500,"male","2009",827.52,3.5,-0.27843012364206,"Small Penguinz"
"127",133,"Adelie","Dream",36.8,18.5,193,3500,"female","2009",680.8,3.5,-0.56289047400975,"Small Penguinz"
"128",134,"Adelie","Dream",37.5,18.5,199,4475,"male","2009",693.75,4.475,-0.136199948458215,"Small Penguinz"
"129",135,"Adelie","Dream",38.1,17.6,187,3425,"female","2009",670.56,3.425,-0.989580999561285,"Small Penguinz"
"130",136,"Adelie","Dream",41.1,17.5,190,3900,"male","2009",719.25,3.9,-0.776235736785517,"Small Penguinz"
"131",137,"Adelie","Dream",35.6,17.5,191,3175,"female","2009",623,3.175,-0.705120649193595,"Small Penguinz"
"132",138,"Adelie","Dream",40.2,20.1,200,3975,"male","2009",808.02,3.975,-0.0650848608662925,"Small Penguinz"
"133",139,"Adelie","Dream",37,16.5,185,3400,"female","2009",610.5,3.4,-1.13181117474513,"Small Penguinz"
"134",140,"Adelie","Dream",39.7,17.9,193,4250,"male","2009",710.63,4.25,-0.56289047400975,"Small Penguinz"
"135",141,"Adelie","Dream",40.2,17.1,193,3400,"female","2009",687.42,3.4,-0.56289047400975,"Small Penguinz"
"136",142,"Adelie","Dream",40.6,17.2,187,3475,"male","2009",698.32,3.475,-0.989580999561285,"Small Penguinz"
"137",143,"Adelie","Dream",32.1,15.5,188,3050,"female","2009",497.55,3.05,-0.918465911969363,"Small Penguinz"
"138",144,"Adelie","Dream",40.7,17,190,3725,"male","2009",691.9,3.725,-0.776235736785517,"Small Penguinz"
"139",145,"Adelie","Dream",37.3,16.8,192,3000,"female","2009",626.64,3,-0.634005561601673,"Small Penguinz"
"140",146,"Adelie","Dream",39,18.7,185,3650,"male","2009",729.3,3.65,-1.13181117474513,"Small Penguinz"
"141",147,"Adelie","Dream",39.2,18.6,190,4250,"male","2009",729.12,4.25,-0.776235736785517,"Small Penguinz"
"142",148,"Adelie","Dream",36.6,18.4,184,3475,"female","2009",673.44,3.475,-1.20292626233705,"Small Penguinz"
"143",149,"Adelie","Dream",36,17.8,195,3450,"female","2009",640.8,3.45,-0.420660298825905,"Small Penguinz"
"144",150,"Adelie","Dream",37.8,18.1,193,3750,"male","2009",684.18,3.75,-0.56289047400975,"Small Penguinz"
"145",151,"Adelie","Dream",36,17.1,187,3700,"female","2009",615.6,3.7,-0.989580999561285,"Small Penguinz"
"146",152,"Adelie","Dream",41.5,18.5,201,4000,"male","2009",767.75,4,0.00603022672563002,"Big Penguinz"
"147",153,"Gentoo","Biscoe",46.1,13.2,211,4500,"female","2007",608.52,4.5,0.717181102644855,"Big Penguinz"
"148",154,"Gentoo","Biscoe",50,16.3,230,5700,"male","2007",815,5.7,2.06836776689138,"Big Penguinz"
"149",155,"Gentoo","Biscoe",48.7,14.1,210,4450,"female","2007",686.67,4.45,0.646066015052933,"Big Penguinz"
"150",156,"Gentoo","Biscoe",50,15.2,218,5700,"male","2007",760,5.7,1.21498671578831,"Big Penguinz"
"151",157,"Gentoo","Biscoe",47.6,14.5,215,5400,"male","2007",690.2,5.4,1.00164145301255,"Big Penguinz"
"152",158,"Gentoo","Biscoe",46.5,13.5,210,4550,"female","2007",627.75,4.55,0.646066015052933,"Big Penguinz"
"153",159,"Gentoo","Biscoe",45.4,14.6,211,4800,"female","2007",662.84,4.8,0.717181102644855,"Big Penguinz"
"154",160,"Gentoo","Biscoe",46.7,15.3,219,5200,"male","2007",714.51,5.2,1.28610180338024,"Big Penguinz"
"155",161,"Gentoo","Biscoe",43.3,13.4,209,4400,"female","2007",580.22,4.4,0.57495092746101,"Big Penguinz"
"156",162,"Gentoo","Biscoe",46.8,15.4,215,5150,"male","2007",720.72,5.15,1.00164145301255,"Big Penguinz"
"157",163,"Gentoo","Biscoe",40.9,13.7,214,4650,"female","2007",560.33,4.65,0.930526365420623,"Big Penguinz"
"158",164,"Gentoo","Biscoe",49,16.1,216,5550,"male","2007",788.9,5.55,1.07275654060447,"Big Penguinz"
"159",165,"Gentoo","Biscoe",45.5,13.7,214,4650,"female","2007",623.35,4.65,0.930526365420623,"Big Penguinz"
"160",166,"Gentoo","Biscoe",48.4,14.6,213,5850,"male","2007",706.64,5.85,0.8594112778287,"Big Penguinz"
"161",167,"Gentoo","Biscoe",45.8,14.6,210,4200,"female","2007",668.68,4.2,0.646066015052933,"Big Penguinz"
"162",168,"Gentoo","Biscoe",49.3,15.7,217,5850,"male","2007",774.01,5.85,1.14387162819639,"Big Penguinz"
"163",169,"Gentoo","Biscoe",42,13.5,210,4150,"female","2007",567,4.15,0.646066015052933,"Big Penguinz"
"164",170,"Gentoo","Biscoe",49.2,15.2,221,6300,"male","2007",747.84,6.3,1.42833197856408,"Big Penguinz"
"165",171,"Gentoo","Biscoe",46.2,14.5,209,4800,"female","2007",669.9,4.8,0.57495092746101,"Big Penguinz"
"166",172,"Gentoo","Biscoe",48.7,15.1,222,5350,"male","2007",735.37,5.35,1.499447066156,"Big Penguinz"
"167",173,"Gentoo","Biscoe",50.2,14.3,218,5700,"male","2007",717.86,5.7,1.21498671578831,"Big Penguinz"
"168",174,"Gentoo","Biscoe",45.1,14.5,215,5000,"female","2007",653.95,5,1.00164145301255,"Big Penguinz"
"169",175,"Gentoo","Biscoe",46.5,14.5,213,4400,"female","2007",674.25,4.4,0.8594112778287,"Big Penguinz"
"170",176,"Gentoo","Biscoe",46.3,15.8,215,5050,"male","2007",731.54,5.05,1.00164145301255,"Big Penguinz"
"171",177,"Gentoo","Biscoe",42.9,13.1,215,5000,"female","2007",561.99,5,1.00164145301255,"Big Penguinz"
"172",178,"Gentoo","Biscoe",46.1,15.1,215,5100,"male","2007",696.11,5.1,1.00164145301255,"Big Penguinz"
"173",180,"Gentoo","Biscoe",47.8,15,215,5650,"male","2007",717,5.65,1.00164145301255,"Big Penguinz"
"174",181,"Gentoo","Biscoe",48.2,14.3,210,4600,"female","2007",689.26,4.6,0.646066015052933,"Big Penguinz"
"175",182,"Gentoo","Biscoe",50,15.3,220,5550,"male","2007",765,5.55,1.35721689097216,"Big Penguinz"
"176",183,"Gentoo","Biscoe",47.3,15.3,222,5250,"male","2007",723.69,5.25,1.499447066156,"Big Penguinz"
"177",184,"Gentoo","Biscoe",42.8,14.2,209,4700,"female","2007",607.76,4.7,0.57495092746101,"Big Penguinz"
"178",185,"Gentoo","Biscoe",45.1,14.5,207,5050,"female","2007",653.95,5.05,0.432720752277165,"Big Penguinz"
"179",186,"Gentoo","Biscoe",59.6,17,230,6050,"male","2007",1013.2,6.05,2.06836776689138,"Big Penguinz"
"180",187,"Gentoo","Biscoe",49.1,14.8,220,5150,"female","2008",726.68,5.15,1.35721689097216,"Big Penguinz"
"181",188,"Gentoo","Biscoe",48.4,16.3,220,5400,"male","2008",788.92,5.4,1.35721689097216,"Big Penguinz"
"182",189,"Gentoo","Biscoe",42.6,13.7,213,4950,"female","2008",583.62,4.95,0.8594112778287,"Big Penguinz"
"183",190,"Gentoo","Biscoe",44.4,17.3,219,5250,"male","2008",768.12,5.25,1.28610180338024,"Big Penguinz"
"184",191,"Gentoo","Biscoe",44,13.6,208,4350,"female","2008",598.4,4.35,0.503835839869088,"Big Penguinz"
"185",192,"Gentoo","Biscoe",48.7,15.7,208,5350,"male","2008",764.59,5.35,0.503835839869088,"Big Penguinz"
"186",193,"Gentoo","Biscoe",42.7,13.7,208,3950,"female","2008",584.99,3.95,0.503835839869088,"Big Penguinz"
"187",194,"Gentoo","Biscoe",49.6,16,225,5700,"male","2008",793.6,5.7,1.71279232893177,"Big Penguinz"
"188",195,"Gentoo","Biscoe",45.3,13.7,210,4300,"female","2008",620.61,4.3,0.646066015052933,"Big Penguinz"
"189",196,"Gentoo","Biscoe",49.6,15,216,4750,"male","2008",744,4.75,1.07275654060447,"Big Penguinz"
"190",197,"Gentoo","Biscoe",50.5,15.9,222,5550,"male","2008",802.95,5.55,1.499447066156,"Big Penguinz"
"191",198,"Gentoo","Biscoe",43.6,13.9,217,4900,"female","2008",606.04,4.9,1.14387162819639,"Big Penguinz"
"192",199,"Gentoo","Biscoe",45.5,13.9,210,4200,"female","2008",632.45,4.2,0.646066015052933,"Big Penguinz"
"193",200,"Gentoo","Biscoe",50.5,15.9,225,5400,"male","2008",802.95,5.4,1.71279232893177,"Big Penguinz"
"194",201,"Gentoo","Biscoe",44.9,13.3,213,5100,"female","2008",597.17,5.1,0.8594112778287,"Big Penguinz"
"195",202,"Gentoo","Biscoe",45.2,15.8,215,5300,"male","2008",714.16,5.3,1.00164145301255,"Big Penguinz"
"196",203,"Gentoo","Biscoe",46.6,14.2,210,4850,"female","2008",661.72,4.85,0.646066015052933,"Big Penguinz"
"197",204,"Gentoo","Biscoe",48.5,14.1,220,5300,"male","2008",683.85,5.3,1.35721689097216,"Big Penguinz"
"198",205,"Gentoo","Biscoe",45.1,14.4,210,4400,"female","2008",649.44,4.4,0.646066015052933,"Big Penguinz"
"199",206,"Gentoo","Biscoe",50.1,15,225,5000,"male","2008",751.5,5,1.71279232893177,"Big Penguinz"
"200",207,"Gentoo","Biscoe",46.5,14.4,217,4900,"female","2008",669.6,4.9,1.14387162819639,"Big Penguinz"
"201",208,"Gentoo","Biscoe",45,15.4,220,5050,"male","2008",693,5.05,1.35721689097216,"Big Penguinz"
"202",209,"Gentoo","Biscoe",43.8,13.9,208,4300,"female","2008",608.82,4.3,0.503835839869088,"Big Penguinz"
"203",210,"Gentoo","Biscoe",45.5,15,220,5000,"male","2008",682.5,5,1.35721689097216,"Big Penguinz"
"204",211,"Gentoo","Biscoe",43.2,14.5,208,4450,"female","2008",626.4,4.45,0.503835839869088,"Big Penguinz"
"205",212,"Gentoo","Biscoe",50.4,15.3,224,5550,"male","2008",771.12,5.55,1.64167724133985,"Big Penguinz"
"206",213,"Gentoo","Biscoe",45.3,13.8,208,4200,"female","2008",625.14,4.2,0.503835839869088,"Big Penguinz"
"207",214,"Gentoo","Biscoe",46.2,14.9,221,5300,"male","2008",688.38,5.3,1.42833197856408,"Big Penguinz"
"208",215,"Gentoo","Biscoe",45.7,13.9,214,4400,"female","2008",635.23,4.4,0.930526365420623,"Big Penguinz"
"209",216,"Gentoo","Biscoe",54.3,15.7,231,5650,"male","2008",852.51,5.65,2.13948285448331,"Big Penguinz"
"210",217,"Gentoo","Biscoe",45.8,14.2,219,4700,"female","2008",650.36,4.7,1.28610180338024,"Big Penguinz"
"211",218,"Gentoo","Biscoe",49.8,16.8,230,5700,"male","2008",836.64,5.7,2.06836776689138,"Big Penguinz"
"212",220,"Gentoo","Biscoe",49.5,16.2,229,5800,"male","2008",801.9,5.8,1.99725267929946,"Big Penguinz"
"213",221,"Gentoo","Biscoe",43.5,14.2,220,4700,"female","2008",617.7,4.7,1.35721689097216,"Big Penguinz"
"214",222,"Gentoo","Biscoe",50.7,15,223,5550,"male","2008",760.5,5.55,1.57056215374793,"Big Penguinz"
"215",223,"Gentoo","Biscoe",47.7,15,216,4750,"female","2008",715.5,4.75,1.07275654060447,"Big Penguinz"
"216",224,"Gentoo","Biscoe",46.4,15.6,221,5000,"male","2008",723.84,5,1.42833197856408,"Big Penguinz"
"217",225,"Gentoo","Biscoe",48.2,15.6,221,5100,"male","2008",751.92,5.1,1.42833197856408,"Big Penguinz"
"218",226,"Gentoo","Biscoe",46.5,14.8,217,5200,"female","2008",688.2,5.2,1.14387162819639,"Big Penguinz"
"219",227,"Gentoo","Biscoe",46.4,15,216,4700,"female","2008",696,4.7,1.07275654060447,"Big Penguinz"
"220",228,"Gentoo","Biscoe",48.6,16,230,5800,"male","2008",777.6,5.8,2.06836776689138,"Big Penguinz"
"221",229,"Gentoo","Biscoe",47.5,14.2,209,4600,"female","2008",674.5,4.6,0.57495092746101,"Big Penguinz"
"222",230,"Gentoo","Biscoe",51.1,16.3,220,6000,"male","2008",832.93,6,1.35721689097216,"Big Penguinz"
"223",231,"Gentoo","Biscoe",45.2,13.8,215,4750,"female","2008",623.76,4.75,1.00164145301255,"Big Penguinz"
